date,building,source,consumption_kwh,cost_usd
2024-01-06,Building D,Wind,109.61,11.45
2024-01-06,Building A,Solar,445.67,47.18
2024-01-06,Building B,Grid,247.18,29.17
2024-01-06,Building C,Wind,325.25,48.5
2024-01-06,Building D,Solar,350.54,41.65
2024-01-06,Building A,Solar,472.52,42.24
2024-01-06,Building B,Solar,450.37,59.43
2024-01-06,Building C,Grid,172.56,21.11
2024-01-06,Building D,Wind,141.62,17.62
2024-01-06,Building A,Wind,277.43,27.07
2024-01-06,Building B,Solar,91.53,10.04
2024-01-06,Building C,Wind,69.84,7.22
2024-01-06,Building D,Grid,336.7,33.11
2024-01-07,Building A,Diesel,298.26,32.79
2024-01-07,Building B,Solar,100.34,14.67
2024-01-07,Building C,Grid,295.52,40.91
2024-01-07,Building D,Grid,243.4,20.18
2024-01-07,Building A,Wind,454.54,61.69
2024-01-07,Building B,Solar,454.52,43.05
2024-01-07,Building C,Grid,350.12,36.68
2024-01-07,Building D,Diesel,488.23,64.67
2024-01-07,Building A,Grid,439.07,65.13
2024-01-07,Building B,Grid,446.64,36.51
2024-01-07,Building C,Wind,402.07,43.75
2024-01-07,Building D,Grid,170.06,22.98
2024-01-07,Building A,Solar,222.14,18.37
2024-01-07,Building B,Diesel,150.1,20.59
2024-01-07,Building C,Diesel,207.35,28.5
2024-01-07,Building D,Grid,150.32,18.97
2024-01-08,Building A,Diesel,197.72,27.78
2024-01-08,Building B,Wind,208.02,24.06
2024-01-08,Building C,Wind,472.66,41.63
2024-01-08,Building D,Wind,130.36,19.21
2024-01-08,Building A,Wind,67.22,8.18
2024-01-08,Building B,Wind,377.85,38.52
2024-01-08,Building C,Solar,223.34,26.88
2024-01-08,Building D,Wind,69.97,7.73
2024-01-08,Building A,Grid,213.9,18.16
2024-01-08,Building B,Wind,330.42,41.78
2024-01-08,Building C,Solar,373.89,37.77
2024-01-08,Building D,Wind,350.1,36.0
2024-01-08,Building A,Wind,299.49,27.98
2024-01-08,Building B,Diesel,354.79,50.8
2024-01-08,Building C,Wind,232.73,32.2
2024-01-08,Building D,Wind,179.11,19.72
2024-01-09,Building A,Wind,259.24,28.76
2024-01-09,Building B,Grid,280.03,37.96
2024-01-09,Building C,Grid,346.48,34.6
2024-01-09,Building D,Wind,92.02,13.49
2024-01-09,Building A,Grid,352.76,33.77
2024-01-09,Building B,Grid,116.31,9.68
2024-01-09,Building C,Diesel,325.07,43.49
2024-01-09,Building D,Diesel,236.5,29.35
2024-01-09,Building A,Grid,373.26,39.89
2024-01-09,Building B,Diesel,159.79,20.12
2024-01-09,Building C,Solar,451.7,63.34
2024-01-09,Building D,Solar,400.29,38.16
2024-01-09,Building A,Diesel,72.6,7.07
2024-01-09,Building B,Solar,255.41,34.76
2024-01-09,Building C,Wind,477.52,68.0
2024-01-09,Building D,Diesel,423.76,50.15
2024-01-10,Building A,Grid,384.64,43.55
2024-01-10,Building B,Wind,388.3,53.89
2024-01-10,Building C,Wind,394.62,45.97
2024-01-10,Building D,Grid,173.57,14.83
2024-01-10,Building A,Wind,155.52,16.1
2024-01-10,Building B,Solar,112.27,10.8
2024-01-10,Building C,Grid,367.89,31.09
2024-01-10,Building D,Diesel,198.9,22.4
2024-01-10,Building A,Solar,143.08,15.65
2024-01-10,Building B,Solar,435.53,58.18
2024-01-10,Building C,Diesel,264.64,38.64
2024-01-10,Building D,Wind,389.06,54.37
2024-01-10,Building A,Diesel,292.2,38.4
2024-01-10,Building B,Grid,269.7,26.73
2024-01-10,Building C,Diesel,63.06,6.53
2024-01-10,Building D,Diesel,375.88,52.19
2024-01-11,Building A,Grid,491.32,57.68
2024-01-11,Building B,Diesel,316.35,39.99
2024-01-11,Building C,Solar,339.24,30.36
2024-01-11,Building D,Diesel,131.78,12.94
2024-01-11,Building A,Wind,145.25,14.94
2024-01-11,Building B,Diesel,175.22,25.68
2024-01-11,Building C,Diesel,163.52,14.02
2024-01-11,Building D,Solar,387.06,32.38
2024-01-11,Building A,Wind,150.9,12.8
2024-01-11,Building B,Solar,389.4,57.04
2024-01-11,Building C,Grid,427.65,52.81
2024-01-11,Building D,Grid,106.8,13.55
2024-01-11,Building A,Grid,259.27,25.39
2024-01-11,Building B,Wind,125.51,15.38
2024-01-11,Building C,Solar,400.01,36.59
2024-01-11,Building D,Wind,98.64,8.07
2024-01-12,Building A,Wind,309.11,44.38
2024-01-12,Building B,Diesel,228.49,29.72
2024-01-12,Building C,Solar,316.44,43.71
2024-01-12,Building D,Grid,95.86,12.85
2024-01-12,Building A,Solar,408.3,48.84
2024-01-12,Building B,Solar,206.24,22.68
2024-01-12,Building C,Wind,81.03,10.16
2024-01-12,Building D,Solar,432.31,59.47
2024-01-12,Building A,Solar,245.09,25.82
2024-01-12,Building B,Diesel,368.29,40.69
2024-01-12,Building C,Wind,327.16,47.23
2024-01-12,Building D,Diesel,259.19,35.72
2024-01-12,Building A,Wind,195.04,18.95
2024-01-12,Building B,Solar,175.52,19.58
2024-01-12,Building C,Diesel,306.43,38.85
2024-01-12,Building D,Wind,62.91,8.78
2024-01-13,Building A,Grid,269.4,28.24
2024-01-13,Building B,Wind,203.15,28.77
2024-01-13,Building C,Wind,300.11,34.86
2024-01-13,Building D,Grid,88.53,11.54
2024-01-13,Building A,Diesel,299.83,29.03
2024-01-13,Building B,Diesel,340.66,38.96
2024-01-13,Building C,Solar,91.87,8.77
2024-01-13,Building D,Grid,187.79,22.67
2024-01-13,Building A,Diesel,299.06,31.12
2024-01-13,Building B,Wind,208.31,23.28
2024-01-13,Building C,Wind,163.13,14.43
2024-01-13,Building D,Grid,192.0,25.34
2024-01-13,Building A,Grid,136.19,17.94
2024-01-13,Building B,Wind,376.06,55.79
2024-01-13,Building C,Wind,491.23,67.93
2024-01-13,Building D,Wind,152.37,14.1
2024-01-14,Building A,Solar,368.61,32.75
2024-01-14,Building B,Solar,488.43,57.99
2024-01-14,Building C,Grid,337.04,44.72
2024-01-14,Building D,Solar,442.72,53.21
2024-01-14,Building A,Diesel,265.42,27.56
2024-01-14,Building B,Solar,163.62,22.96
2024-01-14,Building C,Solar,419.95,45.38
2024-01-14,Building D,Solar,309.66,39.65
2024-01-14,Building A,Grid,117.14,13.99
2024-01-14,Building B,Wind,88.33,8.6
2024-01-14,Building C,Diesel,322.84,43.7
2024-01-14,Building D,Grid,399.06,42.55
2024-01-14,Building A,Diesel,183.81,22.28
2024-01-14,Building B,Diesel,187.42,23.14
2024-01-14,Building C,Solar,476.42,45.04
2024-01-14,Building D,Grid,169.09,14.49
2024-01-15,Building A,Grid,128.22,10.93
2024-01-15,Building B,Solar,233.83,29.99
2024-01-15,Building C,Diesel,181.07,17.42
2024-01-15,Building D,Wind,366.34,40.95
2024-01-15,Building A,Grid,465.76,62.95
2024-01-15,Building B,Grid,241.31,28.5
2024-01-15,Building C,Grid,458.79,63.25
2024-01-15,Building D,Solar,76.84,10.41
2024-01-15,Building A,Wind,247.62,27.93
2024-01-15,Building B,Wind,364.88,53.27
2024-01-15,Building C,Diesel,246.99,30.1
2024-01-15,Building D,Diesel,380.54,46.52
2024-01-15,Building A,Solar,91.1,13.42
2024-01-15,Building B,Solar,499.81,63.51
2024-01-15,Building C,Wind,309.31,41.27
2024-01-15,Building D,Grid,261.73,32.87
2024-01-16,Building A,Wind,131.67,15.93
2024-01-16,Building B,Diesel,486.07,54.88
2024-01-16,Building C,Diesel,199.99,25.38
2024-01-16,Building D,Grid,198.41,25.51
2024-01-16,Building A,Wind,348.16,37.61
2024-01-16,Building B,Solar,254.67,25.98
2024-01-16,Building C,Wind,102.16,13.7
2024-01-16,Building D,Solar,345.95,40.82
2024-01-16,Building A,Diesel,74.39,8.65
2024-01-16,Building B,Diesel,331.43,44.15
2024-01-16,Building C,Grid,170.18,15.18
2024-01-16,Building D,Wind,247.15,31.85
2024-01-16,Building A,Solar,62.99,7.82
2024-01-16,Building B,Grid,369.4,37.59
2024-01-16,Building C,Solar,298.51,25.83
2024-01-16,Building D,Solar,257.65,22.73
2024-01-17,Building A,Grid,274.27,35.7
2024-01-17,Building B,Wind,236.97,26.96
2024-01-17,Building C,Diesel,159.68,18.94
2024-01-17,Building D,Diesel,135.77,16.56
2024-01-17,Building A,Grid,438.81,43.59
2024-01-17,Building B,Diesel,202.94,27.43
2024-01-17,Building C,Wind,419.25,41.84
2024-01-17,Building D,Wind,426.86,51.48
2024-01-17,Building A,Diesel,439.37,48.88
2024-01-17,Building B,Diesel,205.31,24.36
2024-01-17,Building C,Diesel,254.91,26.13
2024-01-17,Building D,Grid,491.35,47.52
2024-01-17,Building A,Diesel,155.1,20.83
2024-01-17,Building B,Solar,193.18,21.85
2024-01-17,Building C,Diesel,223.74,28.29
2024-01-17,Building D,Grid,272.9,22.54
2024-01-18,Building A,Wind,441.37,62.32
2024-01-18,Building B,Diesel,94.87,13.64
2024-01-18,Building C,Solar,375.1,40.77
2024-01-18,Building D,Grid,83.67,11.27
2024-01-18,Building A,Wind,202.35,26.0
2024-01-18,Building B,Solar,433.29,60.51
2024-01-18,Building C,Diesel,479.36,59.38
2024-01-18,Building D,Diesel,442.57,36.52
2024-01-18,Building A,Solar,155.65,19.91
2024-01-18,Building B,Wind,498.84,65.98
2024-01-18,Building C,Diesel,490.25,65.31
2024-01-18,Building D,Solar,249.66,32.1
2024-01-18,Building A,Solar,70.7,9.6
2024-01-18,Building B,Wind,211.31,23.28
2024-01-18,Building C,Grid,289.02,34.57
2024-01-18,Building D,Grid,126.49,10.82
2024-01-19,Building A,Diesel,328.87,31.85
2024-01-19,Building B,Grid,154.48,19.26
2024-01-19,Building C,Diesel,164.9,13.3
2024-01-19,Building D,Diesel,455.54,58.05
2024-01-19,Building A,Grid,83.24,12.17
2024-01-19,Building B,Wind,337.52,37.03
2024-01-19,Building C,Wind,255.58,25.85
2024-01-19,Building D,Diesel,434.0,37.96
2024-01-19,Building A,Diesel,307.37,36.96
2024-01-19,Building B,Wind,59.87,8.27
2024-01-19,Building C,Diesel,173.52,20.76
2024-01-19,Building D,Solar,459.78,60.77
2024-01-19,Building A,Wind,399.08,38.35
2024-01-19,Building B,Wind,148.55,13.86
2024-01-19,Building C,Wind,354.99,46.31
2024-01-19,Building D,Grid,332.71,47.66
2024-01-20,Building A,Solar,189.02,20.95
2024-01-20,Building B,Wind,379.56,32.76
2024-01-20,Building C,Wind,197.02,21.49
2024-01-20,Building D,Grid,109.47,12.89
2024-01-20,Building A,Wind,288.88,41.58
2024-01-20,Building B,Grid,165.64,22.81
2024-01-20,Building C,Diesel,485.32,48.85
2024-01-20,Building D,Wind,411.9,46.46
2024-01-20,Building A,Solar,113.34,16.74
2024-01-20,Building B,Diesel,485.27,66.15
2024-01-20,Building C,Wind,90.64,9.75
2024-01-20,Building D,Wind,291.46,32.6
2024-01-20,Building A,Wind,313.05,43.07
2024-01-20,Building B,Wind,98.76,9.52
2024-01-20,Building C,Solar,328.8,48.01
2024-01-20,Building D,Wind,461.87,44.11
2024-01-21,Building A,Solar,335.93,37.79
2024-01-21,Building B,Wind,342.16,30.17
2024-01-21,Building C,Solar,475.82,48.2
2024-01-21,Building D,Diesel,102.25,9.86
2024-01-21,Building A,Grid,224.89,23.83
2024-01-21,Building B,Diesel,314.3,41.13
2024-01-21,Building C,Diesel,344.71,47.69
2024-01-21,Building D,Diesel,472.57,47.06
2024-01-21,Building A,Wind,147.77,16.42
2024-01-21,Building B,Grid,434.95,37.82
2024-01-21,Building C,Wind,295.01,43.79
2024-01-21,Building D,Wind,77.25,7.67
2024-01-21,Building A,Solar,477.05,65.69
2024-01-21,Building B,Solar,348.25,43.5
2024-01-21,Building C,Solar,72.76,7.52
2024-01-21,Building D,Grid,404.14,38.14
2024-01-22,Building A,Grid,313.87,42.97
2024-01-22,Building B,Grid,197.85,17.87
2024-01-22,Building C,Solar,174.77,26.02
2024-01-22,Building D,Grid,293.1,39.83
2024-01-22,Building A,Solar,347.48,28.43
2024-01-22,Building B,Solar,211.21,28.55
2024-01-22,Building C,Wind,57.1,5.63
2024-01-22,Building D,Grid,383.77,44.83
2024-01-22,Building A,Solar,264.31,35.54
2024-01-22,Building B,Solar,253.4,24.2
2024-01-22,Building C,Solar,377.26,54.18
2024-01-22,Building D,Wind,256.12,37.77
2024-01-22,Building A,Solar,499.36,69.57
2024-01-22,Building B,Diesel,358.74,41.01
2024-01-22,Building C,Diesel,83.07,7.12
2024-01-22,Building D,Grid,79.56,7.9
2024-01-23,Building A,Wind,221.41,26.97
2024-01-23,Building B,Wind,254.17,31.11
2024-01-23,Building C,Solar,406.89,35.81
2024-01-23,Building D,Grid,243.53,34.62
2024-01-23,Building A,Diesel,202.52,22.63
2024-01-23,Building B,Diesel,378.33,38.54
2024-01-23,Building C,Wind,349.3,37.1
2024-01-23,Building D,Grid,359.07,40.65
2024-01-23,Building A,Solar,424.3,36.71
2024-01-23,Building B,Solar,385.07,40.85
2024-01-23,Building C,Grid,300.37,36.36
2024-01-23,Building D,Wind,351.51,38.23
2024-01-23,Building A,Diesel,440.64,57.49
2024-01-23,Building B,Wind,320.18,33.5
2024-01-23,Building C,Grid,119.63,13.61
2024-01-23,Building D,Solar,207.55,24.69
2024-01-24,Building A,Solar,393.17,47.25
2024-01-24,Building B,Diesel,430.32,63.78
2024-01-24,Building C,Solar,324.05,40.85
2024-01-24,Building D,Wind,63.03,6.25
2024-01-24,Building A,Wind,464.69,48.59
2024-01-24,Building B,Grid,441.44,52.81
2024-01-24,Building C,Diesel,81.31,10.72
2024-01-24,Building D,Solar,91.29,10.69
2024-01-24,Building A,Diesel,238.92,24.81
2024-01-24,Building B,Wind,190.24,19.54
2024-01-24,Building C,Solar,447.5,40.67
2024-01-24,Building D,Solar,353.29,34.99
2024-01-24,Building A,Diesel,268.55,29.79
2024-01-24,Building B,Wind,147.01,17.03
2024-01-24,Building C,Wind,243.46,24.3
2024-01-24,Building D,Diesel,287.12,29.17
2024-01-25,Building A,Grid,227.87,27.79
2024-01-25,Building B,Solar,141.99,20.76
2024-01-25,Building C,Grid,393.87,39.49
2024-01-25,Building D,Solar,53.48,7.07
2024-01-25,Building A,Grid,108.13,12.68
2024-01-25,Building B,Grid,275.12,38.06
2024-01-25,Building C,Wind,82.43,11.57
2024-01-25,Building D,Solar,246.3,27.63
2024-01-25,Building A,Solar,437.95,52.69
2024-01-25,Building B,Diesel,369.27,40.34
2024-01-25,Building C,Solar,232.26,34.29
2024-01-25,Building D,Grid,410.59,50.61
2024-01-25,Building A,Wind,89.66,12.47
2024-01-25,Building B,Grid,246.05,26.58
2024-01-25,Building C,Solar,228.1,23.2
2024-01-25,Building D,Wind,149.71,20.14
2024-01-26,Building A,Solar,279.72,24.61
2024-01-26,Building B,Grid,457.67,47.81
2024-01-26,Building C,Grid,156.32,14.11
2024-01-26,Building D,Grid,128.07,11.62
2024-01-26,Building A,Solar,129.72,17.4
2024-01-26,Building B,Diesel,258.78,30.91
2024-01-26,Building C,Diesel,356.51,50.53
2024-01-26,Building D,Wind,438.91,54.38
2024-01-26,Building A,Grid,247.89,27.97
2024-01-26,Building B,Wind,408.35,49.57
2024-01-26,Building C,Wind,278.3,28.31
2024-01-26,Building D,Diesel,66.92,7.08
2024-01-26,Building A,Wind,84.53,11.88
2024-01-26,Building B,Solar,326.75,37.74
2024-01-26,Building C,Diesel,311.15,45.68
2024-01-26,Building D,Solar,252.38,34.5
2024-01-27,Building A,Grid,194.69,22.06
2024-01-27,Building B,Grid,480.98,53.65
2024-01-27,Building C,Wind,492.07,42.27
2024-01-27,Building D,Grid,67.61,8.76
2024-01-27,Building A,Diesel,285.83,35.07
2024-01-27,Building B,Wind,217.78,21.73
2024-01-27,Building C,Diesel,398.51,50.82
2024-01-27,Building D,Solar,405.15,50.77
2024-01-27,Building A,Solar,198.36,23.62
2024-01-27,Building B,Diesel,177.87,23.24
2024-01-27,Building C,Grid,200.01,24.16
2024-01-27,Building D,Grid,462.54,47.05
2024-01-27,Building A,Diesel,108.03,14.0
2024-01-27,Building B,Solar,189.31,20.14
2024-01-27,Building C,Wind,415.93,52.78
2024-01-27,Building D,Solar,340.71,37.35
2024-01-28,Building A,Wind,58.2,5.91
2024-01-28,Building B,Grid,203.78,27.23
2024-01-28,Building C,Grid,151.94,13.62
2024-01-28,Building D,Solar,183.11,24.75
2024-01-28,Building A,Solar,347.87,49.17
2024-01-28,Building B,Grid,318.76,28.94
2024-01-28,Building C,Grid,424.11,56.82
2024-01-28,Building D,Grid,374.53,31.11
2024-01-28,Building A,Wind,354.36,34.24
2024-01-28,Building B,Diesel,324.77,43.09
2024-01-28,Building C,Diesel,155.3,15.02
2024-01-28,Building D,Diesel,456.79,42.75
2024-01-28,Building A,Diesel,257.76,25.7
2024-01-28,Building B,Diesel,276.31,30.2
2024-01-28,Building C,Grid,417.6,56.83
2024-01-28,Building D,Grid,442.85,37.05
2024-01-29,Building A,Diesel,443.35,52.68
2024-01-29,Building B,Solar,370.13,42.98
2024-01-29,Building C,Solar,178.28,23.79
2024-01-29,Building D,Wind,252.19,29.24
2024-01-29,Building A,Diesel,91.27,13.12
2024-01-29,Building B,Diesel,448.08,65.03
2024-01-29,Building C,Diesel,73.97,8.52
2024-01-29,Building D,Grid,223.77,19.18
2024-01-29,Building A,Grid,62.68,9.1
2024-01-29,Building B,Wind,406.12,36.4
2024-01-29,Building C,Wind,462.83,52.33
2024-01-29,Building D,Grid,391.48,44.17
2024-01-29,Building A,Solar,457.64,37.22
2024-01-29,Building B,Grid,425.73,50.41
2024-01-29,Building C,Diesel,100.03,10.02
2024-01-29,Building D,Wind,104.83,10.14
2024-01-30,Building A,Diesel,78.26,10.84
2024-01-30,Building B,Diesel,318.53,25.85
2024-01-30,Building C,Grid,373.34,37.48
2024-01-30,Building D,Solar,326.66,31.63
2024-01-30,Building A,Diesel,134.29,17.02
2024-01-30,Building B,Wind,80.46,9.4
2024-01-30,Building C,Solar,225.7,25.48
2024-01-30,Building D,Diesel,491.47,48.04
2024-01-30,Building A,Solar,210.69,17.85
2024-01-30,Building B,Grid,379.82,47.09
2024-01-30,Building C,Wind,110.03,11.52
2024-01-30,Building D,Wind,416.08,38.39
2024-01-30,Building A,Diesel,491.37,55.77
2024-01-30,Building B,Grid,415.17,35.05
2024-01-30,Building C,Diesel,66.64,6.27
2024-01-30,Building D,Grid,448.61,45.8
2024-01-31,Building A,Wind,281.92,42.07
2024-01-31,Building B,Diesel,163.99,21.77
2024-01-31,Building C,Grid,178.75,25.09
2024-01-31,Building D,Solar,439.61,45.38
2024-01-31,Building A,Solar,409.7,45.31
2024-01-31,Building B,Diesel,384.49,54.84
2024-01-31,Building C,Diesel,202.57,18.85
2024-01-31,Building D,Diesel,215.31,29.24
2024-01-31,Building A,Wind,410.52,53.74
2024-01-31,Building B,Solar,243.77,36.48
2024-01-31,Building C,Grid,295.46,30.28
2024-01-31,Building D,Solar,197.56,19.89
2024-01-31,Building A,Diesel,321.18,35.27
2024-01-31,Building B,Diesel,208.2,17.27
2024-01-31,Building C,Wind,326.68,36.08
2024-01-31,Building D,Solar,83.77,10.44
2024-02-01,Building A,Wind,280.89,37.22
2024-02-01,Building B,Grid,478.76,43.09
2024-02-01,Building C,Diesel,65.66,5.56
2024-02-01,Building D,Wind,212.97,31.19
2024-02-01,Building A,Solar,322.29,41.1
2024-02-01,Building B,Wind,217.41,29.01
2024-02-01,Building C,Grid,288.26,31.09
2024-02-01,Building D,Wind,162.33,14.28
2024-02-01,Building A,Grid,274.57,29.4
2024-02-01,Building B,Solar,167.8,16.48
2024-02-01,Building C,Diesel,146.56,18.0
2024-02-01,Building D,Diesel,140.08,12.54
2024-02-01,Building A,Solar,253.42,36.22
2024-02-01,Building B,Diesel,498.77,68.2
2024-02-01,Building C,Wind,350.53,45.45
2024-02-01,Building D,Wind,451.1,62.97
2024-02-02,Building A,Grid,407.16,47.07
2024-02-02,Building B,Solar,493.31,66.82
2024-02-02,Building C,Grid,405.67,33.2
2024-02-02,Building D,Wind,260.33,38.74
2024-02-02,Building A,Grid,325.38,27.99
2024-02-02,Building B,Wind,229.17,29.83
2024-02-02,Building C,Diesel,286.56,38.35
2024-02-02,Building D,Solar,106.4,10.87
2024-02-02,Building A,Solar,252.49,32.22
2024-02-02,Building B,Wind,107.75,14.87
2024-02-02,Building C,Grid,395.5,35.21
2024-02-02,Building D,Solar,424.13,49.31
2024-02-02,Building A,Wind,124.1,12.73
2024-02-02,Building B,Grid,205.71,30.01
2024-02-02,Building C,Wind,430.67,42.01
2024-02-02,Building D,Wind,106.33,10.76
2024-02-03,Building A,Solar,276.16,25.35
2024-02-03,Building B,Grid,127.04,15.72
2024-02-03,Building C,Wind,429.14,51.26
2024-02-03,Building D,Solar,86.55,12.67
2024-02-03,Building A,Wind,343.01,45.86
2024-02-03,Building B,Diesel,328.15,26.95
2024-02-03,Building C,Wind,338.86,34.27
2024-02-03,Building D,Grid,412.11,52.73
2024-02-03,Building A,Wind,254.09,32.58
2024-02-03,Building B,Grid,247.82,28.23
2024-02-03,Building C,Grid,203.09,18.29
2024-02-03,Building D,Wind,380.39,53.35
2024-02-03,Building A,Diesel,108.84,11.53
2024-02-03,Building B,Solar,193.6,21.81
2024-02-03,Building C,Wind,252.32,22.67
2024-02-03,Building D,Solar,180.6,19.3
2024-02-04,Building A,Diesel,161.72,22.73
2024-02-04,Building B,Grid,416.07,60.48
2024-02-04,Building C,Wind,135.43,12.34
2024-02-04,Building D,Diesel,274.44,27.88
2024-02-04,Building A,Solar,90.52,9.73
2024-02-04,Building B,Diesel,485.01,46.11
2024-02-04,Building C,Wind,71.9,7.17
2024-02-04,Building D,Diesel,178.59,14.39
2024-02-04,Building A,Solar,243.92,34.58
2024-02-04,Building B,Wind,393.74,41.59
2024-02-04,Building C,Diesel,73.02,8.71
2024-02-04,Building D,Wind,298.95,25.45
2024-02-04,Building A,Diesel,393.98,39.23
2024-02-04,Building B,Solar,107.9,9.36
2024-02-04,Building C,Wind,407.7,42.29
2024-02-04,Building D,Wind,389.73,36.61
2024-02-05,Building A,Diesel,275.04,22.88
2024-02-05,Building B,Grid,371.12,50.58
2024-02-05,Building C,Diesel,117.02,16.68
2024-02-05,Building D,Grid,197.58,24.29
2024-02-05,Building A,Grid,226.83,27.94
2024-02-05,Building B,Wind,317.18,36.64
2024-02-05,Building C,Diesel,368.93,37.26
2024-02-05,Building D,Solar,215.76,27.44
2024-02-05,Building A,Diesel,312.67,42.45
2024-02-05,Building B,Solar,318.61,31.41
2024-02-05,Building C,Grid,374.63,45.27
2024-02-05,Building D,Grid,285.9,37.31
2024-02-05,Building A,Diesel,116.5,14.87
2024-02-05,Building B,Solar,307.66,39.7
2024-02-05,Building C,Grid,58.52,5.97
2024-02-05,Building D,Grid,235.83,22.23
2024-02-06,Building A,Diesel,442.77,58.23
2024-02-06,Building B,Solar,367.6,42.75
2024-02-06,Building C,Wind,499.16,56.65
2024-02-06,Building D,Diesel,191.19,17.61
2024-02-06,Building A,Wind,295.82,37.66
2024-02-06,Building B,Wind,324.53,30.33
2024-02-06,Building C,Grid,175.55,17.71
2024-02-06,Building D,Wind,397.03,51.35
2024-02-06,Building A,Diesel,192.67,20.12
2024-02-06,Building B,Wind,179.51,21.57
2024-02-06,Building C,Diesel,453.09,48.76
2024-02-06,Building D,Wind,479.57,65.38
2024-02-06,Building A,Wind,68.93,10.12
2024-02-06,Building B,Solar,205.86,22.84
2024-02-06,Building C,Wind,386.3,36.69
2024-02-06,Building D,Wind,469.86,60.49
2024-02-07,Building A,Grid,99.15,13.07
2024-02-07,Building B,Grid,159.11,20.19
2024-02-07,Building C,Grid,337.08,28.2
2024-02-07,Building D,Diesel,198.63,22.46
2024-02-07,Building A,Grid,52.33,6.2
2024-02-07,Building B,Grid,233.11,33.91
2024-02-07,Building C,Diesel,264.85,24.89
2024-02-07,Building D,Wind,194.53,24.36
